species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory,presencia
,4.66745620840264,-72.1076262755212,,1,1,1,111,1,2,0
,4.422197413230964,-71.52619386849067,,1,1,1,111,1,2,0
,3.3117564372618546,-71.99217692009016,,1,1,1,111,1,2,0
,4.3210511088494705,-71.65931252566932,,1,1,1,111,1,2,0
,3.6290202546217585,-72.93720647228166,,1,1,1,111,1,2,0
,4.60468456803671,-71.83354368417179,,1,1,1,111,1,2,0
,3.7353964294414577,-73.2782813019525,,1,1,1,111,1,2,0
,4.053793887416069,-71.47272592462444,,1,1,1,111,1,2,0
,3.8622170680292216,-73.31012511456802,,1,1,1,111,1,2,0
,4.443425204313206,-72.85448080237364,,1,1,1,111,1,2,0
,4.615420658505161,-72.88171191982478,,1,1,1,111,1,2,0
,4.14313288686104,-72.9386348739429,,1,1,1,111,1,2,0
,3.69984010430561,-71.72600846298309,,1,1,1,111,1,2,0
,4.1508844972184376,-71.78806367175659,,1,1,1,111,1,2,0
,4.601222855208907,-73.2411384004642,,1,1,1,111,1,2,0
,4.506210016660523,-72.67183923032239,,1,1,1,111,1,2,0
,3.738792995290563,-73.17263161898612,,1,1,1,111,1,2,0
,4.2314180033781845,-72.32135686627922,,1,1,1,111,1,2,0
,3.971808125914527,-72.79880177435679,,1,1,1,111,1,2,0
,4.145577464538614,-72.04051670684863,,1,1,1,111,1,2,0
,4.121904547693874,-73.01536394773916,,1,1,1,111,1,2,0
,3.4301229218853653,-73.63085368200227,,1,1,1,111,1,2,0
,3.6266529140014283,-73.63115762770883,,1,1,1,111,1,2,0
,3.764543936272698,-73.54963665575589,,1,1,1,111,1,2,0
,4.072192436863421,-72.56707279836367,,1,1,1,111,1,2,0
,3.420994220964791,-73.22293917639016,,1,1,1,111,1,2,0
,3.6562709458449265,-72.25811940103397,,1,1,1,111,1,2,0
,3.796315250263655,-72.05109934904338,,1,1,1,111,1,2,0
,3.3113004883583548,-72.99933464682269,,1,1,1,111,1,2,0
,3.4329752991995064,-73.68670181049343,,1,1,1,111,1,2,0
,4.724452312305271,-73.45634049533392,,1,1,1,111,1,2,0
,3.6285949594006164,-73.37899404132388,,1,1,1,111,1,2,0
,3.5346685127032202,-72.6522916907056,,1,1,1,111,1,2,0
,3.963197499328709,-73.81521383490559,,1,1,1,111,1,2,0
,3.760863773987583,-73.54237531170929,,1,1,1,111,1,2,0
,3.9676719207025917,-72.51023726670407,,1,1,1,111,1,2,0
,3.8365486312755928,-72.83588747777176,,1,1,1,111,1,2,0
,3.5200849796795164,-71.8974998472489,,1,1,1,111,1,2,0
,4.510225435416287,-73.8179162999381,,1,1,1,111,1,2,0
,3.2722251319659166,-73.33711986959784,,1,1,1,111,1,2,0
,3.5568042540206557,-72.78466631465903,,1,1,1,111,1,2,0
,3.75498854361335,-73.83410670666547,,1,1,1,111,1,2,0
,3.385361494808897,-72.27009660391123,,1,1,1,111,1,2,0
,4.697753224657195,-73.36692180715126,,1,1,1,111,1,2,0
,4.345629122595805,-72.38435009677177,,1,1,1,111,1,2,0
,3.3607368486759865,-71.9550456497311,,1,1,1,111,1,2,0
,3.6220772569675193,-73.81142716774576,,1,1,1,111,1,2,0
,4.306111638504039,-72.9282754431122,,1,1,1,111,1,2,0
,3.639417217779767,-73.75800552132267,,1,1,1,111,1,2,0
,4.243237871951285,-73.60628729816436,,1,1,1,111,1,2,0
,3.7353944743750183,-73.00109309514184,,1,1,1,111,1,2,0
,4.506958031921268,-73.61124541954067,,1,1,1,111,1,2,0
,3.445335583245475,-71.37906040455064,,1,1,1,111,1,2,0
,4.261245125530725,-72.51781868366444,,1,1,1,111,1,2,0
,4.353009813564748,-73.33252337070061,,1,1,1,111,1,2,0
,4.367323079082851,-72.63939409586581,,1,1,1,111,1,2,0
,4.17901631464145,-73.73907273646962,,1,1,1,111,1,2,0
,3.9426062364354806,-72.03466215250319,,1,1,1,111,1,2,0
,3.7652063452398865,-72.09140850892341,,1,1,1,111,1,2,0
,3.8137358157993693,-73.1442852071715,,1,1,1,111,1,2,0
,4.4564451913422705,-73.75486985357513,,1,1,1,111,1,2,0
,4.047076291792533,-72.4413853646199,,1,1,1,111,1,2,0
,3.5970307664923156,-71.701023763228,,1,1,1,111,1,2,0
,4.551317916751886,-73.32569642676505,,1,1,1,111,1,2,0
,4.3291906264132285,-73.29907652196744,,1,1,1,111,1,2,0
,3.314641456951854,-73.35453033019365,,1,1,1,111,1,2,0
,4.70746808732291,-71.49855342124529,,1,1,1,111,1,2,0
,4.004426076054661,-72.09799980412886,,1,1,1,111,1,2,0
,4.616380414612987,-73.3504227827091,,1,1,1,111,1,2,0
,3.8341264594100437,-72.21705770314745,,1,1,1,111,1,2,0
,4.630952613615003,-72.87326507871863,,1,1,1,111,1,2,0
,4.638821693897778,-71.5065271872358,,1,1,1,111,1,2,0
,3.9264488397470574,-73.65389992202195,,1,1,1,111,1,2,0
,3.3007844494731455,-72.92892877240303,,1,1,1,111,1,2,0
,3.558410816620501,-73.29376458561818,,1,1,1,111,1,2,0
,3.7182922607610016,-73.8754210542353,,1,1,1,111,1,2,0
