species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory
Puma concolor,4.543956,-71.549171,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda Guadalajara",PRESENT,LC
Puma concolor,4.476988,-71.711632,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda EL Espejo",PRESENT,LC
Panthera onca,4.592994,-71.621656,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Pedro de Arimena, Hacienda Israel Bermúdez",PRESENT,NT
Puma concolor,3.570986,-73.457907,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Novilla, Hacienda Pampas",PRESENT,LC
Panthera onca,3.624423,-73.149157,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Consuelo, Hacienda Nazareth",PRESENT,NT
Puma concolor,4.09235,-72.803689,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Hacienda Bufalito",PRESENT,LC
Puma concolor,3.50019,-72.450278,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda Siberia",PRESENT,LC
Puma concolor,4.171104,-73.654799,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda Bavaria,PRESENT,LC
Panthera onca,3.679461,-73.637869,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Unión, Hacienda San Camilo",PRESENT,NT
Puma concolor,3.512539,-72.798202,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hacienda La Palmita",PRESENT,LC
